2019-11-14 22:07:50 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:08:33 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:09:17 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:09:22 127.0.0.1:INFO /system/users/all ==> ["SELECT * FROM `admin_users` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_users`"] 
2019-11-14 22:27:25 127.0.0.1:INFO /system/users/all ==> ["SELECT * FROM `admin_users` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_users`"] 
2019-11-14 22:27:33 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:27:34 127.0.0.1:INFO /system/users/all ==> ["SELECT * FROM `admin_users` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_users`"] 
2019-11-14 22:27:38 127.0.0.1:INFO /system/menus/all ==> ["SELECT * FROM `admin_menu` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_menu`"] 
2019-11-14 22:27:43 127.0.0.1:INFO /system/users/all ==> ["SELECT * FROM `admin_users` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_users`"] 
2019-11-14 22:27:55 127.0.0.1:INFO /system/users/all ==> ["SELECT * FROM `admin_users` ORDER BY `id` DESC LIMIT 10 OFFSET 0","SELECT COUNT(*) FROM `admin_users`"] 
